INFO:root:Waypoint/> conf reading done, T_column 22
INFO:root:Waypoint/> _TaskSplitter done: [(0, [0, 1], ['.\\t01_data.star'], (29, 22, 13, 23, 25, 24)), (1, [1, 3], ['.\\t09_data.star', '.\\t11_data.star'], (29, 22, 13, 23, 25, 24))]
INFO:root:Waypoint/> process_21840 running...
INFO:root:Waypoint/process_21840/>file_list:['.\\t01_data.star'], row:100, col:1, header_length:29, CNC:22
INFO:root:Waypoint/> process_23520 running...
INFO:root:Waypoint/process_23520/>file_list:['.\\t09_data.star', '.\\t11_data.star'], row:100, col:2, header_length:29, CNC:22
INFO:root:closing-in/23520/>step_1, i = 0, j = 115, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 116, readin: 19
INFO:root:closing-in/23520/>step_1, i = 0, j = 117, readin: 2
INFO:root:closing-in/23520/>step_1, i = 0, j = 118, readin: 3
INFO:root:closing-in/23520/>step_1, i = 0, j = 119, readin: 8
INFO:root:closing-in/23520/>step_1, i = 0, j = 120, readin: 11
INFO:root:closing-in/23520/>step_1, i = 0, j = 121, readin: 14
INFO:root:closing-in/23520/>step_1, i = 0, j = 122, readin: 19
INFO:root:closing-in/23520/>step_1, i = 0, j = 123, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 124, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 125, readin: 19
INFO:root:closing-in/23520/>step_1, i = 0, j = 126, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 127, readin: 15
INFO:root:closing-in/23520/>step_1, i = 0, j = 128, readin: 20
INFO:root:closing-in/23520/>step_1, i = 1, j = 29, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 30, readin: 13
INFO:root:closing-in/23520/>step_1, i = 1, j = 31, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 32, readin: 6
INFO:root:closing-in/23520/>step_1, i = 1, j = 33, readin: 13
INFO:root:closing-in/23520/>step_1, i = 1, j = 34, readin: 7
INFO:root:closing-in/23520/>step_1, i = 1, j = 35, readin: 15
INFO:root:closing-in/23520/>step_1, i = 1, j = 36, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 37, readin: 6
INFO:root:closing-in/23520/>step_1, i = 1, j = 38, readin: 1
INFO:root:closing-in/23520/>step_1, i = 1, j = 39, readin: 6
INFO:root:closing-in/23520/>step_1, i = 1, j = 40, readin: 8
INFO:root:closing-in/23520/>step_1, i = 1, j = 41, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 42, readin: 6
INFO:root:closing-in/23520/>step_1, i = 1, j = 43, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 44, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 45, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 46, readin: 13
INFO:root:closing-in/23520/>step_1, i = 1, j = 47, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 48, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 49, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 50, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 51, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 52, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 53, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 54, readin: 10
INFO:root:closing-in/23520/>step_1, i = 1, j = 55, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 56, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 57, readin: 11
INFO:root:closing-in/23520/>step_1, i = 1, j = 58, readin: 8
INFO:root:closing-in/23520/>step_1, i = 1, j = 59, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 60, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 61, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 62, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 63, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 64, readin: 2
INFO:root:closing-in/23520/>step_1, i = 1, j = 65, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 66, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 67, readin: 18
INFO:root:closing-in/23520/>step_1, i = 1, j = 68, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 69, readin: 8
INFO:root:closing-in/23520/>step_1, i = 1, j = 70, readin: 4
INFO:root:closing-in/23520/>step_1, i = 1, j = 71, readin: 20
INFO:root:closing-in/23520/>step_1, i = 1, j = 72, readin: 4
INFO:root:closing-in/23520/>step_1, i = 1, j = 73, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 74, readin: 20
INFO:root:closing-in/23520/>step_1, i = 1, j = 75, readin: 14
INFO:root:closing-in/23520/>step_1, i = 1, j = 76, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 77, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 78, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 79, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 80, readin: 14
INFO:root:closing-in/23520/>step_1, i = 1, j = 81, readin: 15
INFO:root:closing-in/23520/>step_1, i = 1, j = 82, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 83, readin: 10
INFO:root:closing-in/23520/>step_1, i = 1, j = 84, readin: 11
INFO:root:closing-in/23520/>step_1, i = 1, j = 85, readin: 10
INFO:root:closing-in/23520/>step_1, i = 1, j = 86, readin: 2
INFO:root:closing-in/23520/>step_1, i = 1, j = 87, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 88, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 89, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 90, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 91, readin: 3
INFO:root:closing-in/23520/>step_1, i = 1, j = 92, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 93, readin: 4
INFO:root:closing-in/23520/>step_1, i = 1, j = 94, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 95, readin: 4
INFO:root:closing-in/23520/>step_1, i = 1, j = 96, readin: 7
INFO:root:closing-in/23520/>step_1, i = 1, j = 97, readin: 20
INFO:root:closing-in/23520/>step_1, i = 1, j = 98, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 99, readin: 10
INFO:root:closing-in/23520/>step_1, i = 1, j = 100, readin: 7
INFO:root:closing-in/23520/>step_1, i = 1, j = 101, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 102, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 103, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 104, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 105, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 106, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 107, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 108, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 109, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 110, readin: 7
INFO:root:closing-in/23520/>step_1, i = 1, j = 111, readin: 5
INFO:root:closing-in/23520/>step_1, i = 1, j = 112, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 113, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 114, readin: 12
INFO:root:closing-in/23520/>step_1, i = 1, j = 115, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 116, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 117, readin: 2
INFO:root:closing-in/23520/>step_1, i = 1, j = 118, readin: 13
INFO:root:closing-in/23520/>step_1, i = 1, j = 119, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 120, readin: 20
INFO:root:closing-in/23520/>step_1, i = 1, j = 121, readin: 6
INFO:root:closing-in/23520/>step_1, i = 1, j = 122, readin: 2
INFO:root:closing-in/23520/>step_1, i = 1, j = 123, readin: 16
INFO:root:closing-in/23520/>step_1, i = 1, j = 124, readin: 9
INFO:root:closing-in/23520/>step_1, i = 1, j = 125, readin: 19
INFO:root:closing-in/23520/>step_1, i = 1, j = 126, readin: 17
INFO:root:closing-in/23520/>step_1, i = 1, j = 127, readin: 10
INFO:root:closing-in/23520/>step_1, i = 1, j = 128, readin: 20
INFO:root:Waypoint/> process_23520 finishing off...
INFO:root:Waypoint/> joined
INFO:root:Waypoint/postprocess/> [['45', '19', '19'], ['45', '13', '13'], ['45', '6', '17'], ['45', '13', '6'], ['45', '17', '13'], ['45', '7', '7'], ['45', '15', '15'], ['45', '17', '12'], ['45', '6', '6'], ['45', '1', '1'], ['45', '6', '6'], ['45', '17', '8'], ['45', '9', '9'], ['45', '6', '6'], ['18', '16', '16'], ['18', '9', '17'], ['18', '17', '17'], ['18', '14', '13'], ['18', '6', '16'], ['18', '16', '16'], ['18', '16', '16'], ['18', '17', '9'], ['18', '17', '16'], ['18', '19', '19'], ['12', '17', '17'], ['12', '10', '10'], ['12', '9', '16'], ['12', '16', '16'], ['12', '6', '11'], ['12', '8', '8'], ['12', '5', '12'], ['12', '6', '19'], ['12', '17', '16'], ['31', '17', '17'], ['31', '17', '17'], ['31', '1', '2'], ['31', '17', '17'], ['31', '17', '17'], ['31', '5', '18'], ['31', '9', '17'], ['31', '4', '8'], ['31', '3', '4'], ['31', '16', '20'], ['31', '5', '4'], ['31', '5', '19'], ['31', '20', '20'], ['14', '9', '14'], ['14', '10', '12'], ['14', '17', '17'], ['14', '16', '16'], ['14', '16', '17'], ['14', '14', '14'], ['14', '2', '15'], ['14', '11', '9'], ['14', '18', '10'], ['14', '11', '11'], ['14', '10', '10'], ['14', '2', '2'], ['7', '20', '16'], ['7', '8', '17'], ['7', '20', '19'], ['7', '9', '9'], ['7', '2', '3'], ['7', '17', '16'], ['7', '19', '4'], ['7', '17', '17'], ['7', '4', '4'], ['7', '7', '7'], ['7', '20', '20'], ['7', '17', '16'], ['7', '20', '10'], ['7', '9', '7'], ['7', '12', '12'], ['7', '5', '16'], ['7', '12', '12'], ['7', '17', '16'], ['7', '16', '16'], ['7', '7', '9'], ['7', '17', '17'], ['7', '17', '17'], ['7', '6', '12'], ['7', '16', '7'], ['7', '5', '5'], ['36', '16', '16'], ['36', '16', '16'], ['36', '11', '12'], ['36', '17', '17'], ['36', '19', '19'], ['36', '2', '2'], ['36', '3', '13'], ['36', '8', '19'], ['36', '11', '20'], ['36', '14', '6'], ['36', '19', '2'], ['40', '16', '16'], ['40', '16', '9'], ['40', '19', '19'], ['40', '16', '17'], ['40', '15', '10'], ['40', '20', '20']]
INFO:root:Waypoint/> file operation done, time consumption: 0.5166106224060059
